ds,y,RBOB_Gasoline_t_2,US_Corn_t_1,US_Cocoa_t_2,consumption_t_1,Ind_Prod_t_1,Unit_labor_t_1
2021001,96386375.11,1.2489,419.75,3008,513.9,99.6564,119.3970279
2021002,101502882.4,1.2489,484,3008,522,98.7366,118.708555
2021003,94701653.22,1.4101,547,2603,557.8,98.7366,118.708555
2021004,89612132.07,1.5527,555.5,2531,599.8,98.7366,118.708555
2021005,84864145.35,1.9505,564.25,2701,585.5,98.4926,119.1346639
2021006,101567208.7,1.9597,740,2348,603.9,98.4926,119.1346639
2021007,97573699.59,2.0763,659,2342,636.5,98.4926,119.1346639
2021008,121603165.8,2.1463,720,2412,638.1,97.9254,119.1309424
2021009,144456071.6,2.2418,547,2360,652.3,97.9254,119.1309424
2021010,101758300.4,2.3347,534,2366,663.4,97.9254,119.1309424
2021011,92220350.6,2.1419,536.75,2574,673.4,100.9232,121.869018
2021012,93192003.23,2.194,568.25,2652,704.2,100.9232,121.869018
2022001,92642074.98,1.9282,567,2320,701.9,100.9232,121.869018
2022001,92642074.98,1.9282,567,2320,701.9,100.9232,121.869018
2022002,70087771.37,1.9282,567,2320,701.9,100.9232,121.869018
2022003,97379556.17,1.9282,593.25,2320,716.6,104.3784,123.334349
2022004,84283630.6,2.2286,626,2520,742.3,104.3784,123.334349
2022005,76019916.32,2.5544,697.5,2528,829.1,104.3784,123.334349
2022006,91361577.81,2.9089,748.75,2571,809,105.5474,123.6171811
2022007,148138231.7,3.0978,813.5,2650,833.4,105.5474,123.6171811
2022008,165791241.9,3.3744,753.5,2650,885.8,105.5474,123.6171811
2022009,134764051.9,3.7455,628.75,2496,828.5,105.7675,127.1963102
2022010,115303188.2,3.4019,616.25,2291,794.2,105.7675,127.1963102
2022011,107128003.4,2.8652,670.5,2323,780.7,105.7675,127.1963102
2022012,114240955.5,2.3879,677.5,2427,800.1,105.4995,129.5687508
2023001,106493806.6,2.4589,667,2335,754.3,105.4995,129.5687508
2023002,86677379.04,2.3825,667,2451,754.3,105.4995,129.5687508
2023003,101624073.4,2.3825,678.5,2451,754.3,101.8143,129.5687508
2023004,101337039.7,2.4783,677.5,2600,754.3,101.8143,129.5687508
2023005,87231524.97,2.7352,630.25,2581,754.3,101.8143,129.5687508
